Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
139,0,71.7015,713.324,61.876,71.2095,673.584,62.1478,111.331,714.1,62.5554,111.476,673.215,62.3449
140,0,71.6569,713.401,61.8559,71.2377,673.561,62.0654,111.329,714.077,62.5409,111.484,673.246,62.3117
141,0,71.6164,713.33,61.861,71.2198,673.624,62.1221,111.548,714.14,62.6427,111.504,673.275,62.2819
142,0,71.605,713.351,61.8811,71.217,673.594,62.148,111.322,714.056,62.5511,111.476,673.232,62.315
143,0,71.6693,713.328,61.8593,71.2031,673.572,62.1333,111.531,714.135,62.6519,111.468,673.258,62.3098
144,0,71.6878,713.361,61.8557,71.199,673.568,62.1461,111.346,714.086,62.5525,111.466,673.268,62.2986
145,0,71.7034,713.364,61.8479,71.2517,673.579,62.1259,111.307,714.085,62.5653,111.488,673.252,62.3023
146,0,71.6739,713.356,61.8404,71.2235,673.618,62.1698,111.321,714.082,62.5506,111.495,673.261,62.3053
147,0,71.6772,713.333,61.8506,71.2333,673.609,62.1335,111.333,714.12,62.5324,111.48,673.29,62.3091
148,0,71.6795,713.324,61.8794,71.2269,673.612,62.1342,111.573,714.129,62.6467,111.482,673.267,62.2987
149,0,71.7063,713.363,61.8298,71.2374,673.635,62.1237,111.352,714.054,62.574,111.47,673.263,62.3008
150,0,71.6844,713.364,61.8492,71.1979,673.602,62.1528,111.548,714.157,62.652,111.476,673.292,62.2887
151,0,71.6801,713.337,61.8628,71.2071,673.593,62.1546,111.565,714.137,62.6356,111.468,673.271,62.291
152,0,71.6505,713.335,61.8718,71.2184,673.596,62.1704,111.325,714.056,62.5825,111.484,673.253,62.3073
153,0,71.6358,713.304,61.8836,71.1765,673.576,62.1593,111.311,714.053,62.5362,111.487,673.25,62.2972
154,0,71.6879,713.377,61.8275,71.161,673.575,62.1475,111.317,714.083,62.5647,111.469,673.264,62.3064
155,0,71.6916,713.342,61.8403,71.2422,673.603,62.1433,111.516,714.107,62.652,111.494,673.263,62.2989
156,0,71.707,713.389,61.8225,71.2071,673.599,62.1325,111.332,714.097,62.5407,111.482,673.24,62.3129
157,0,71.7112,713.364,61.8428,71.2179,673.607,62.1397,111.316,714.082,62.5649,111.467,673.238,62.3031
158,0,71.706,713.393,61.8339,71.2096,673.651,62.1512,111.538,714.138,62.6422,111.492,673.288,62.2898
159,0,71.6936,713.385,61.8449,71.2202,673.61,62.1114,111.337,714.091,62.5661,111.5,673.282,62.3031
160,0,71.7016,713.374,61.8466,71.2035,673.561,62.1486,111.321,714.048,62.5537,111.483,673.313,62.3089
161,0,71.6994,713.369,61.8535,71.2128,673.583,62.1507,111.327,714.067,62.5867,111.474,673.259,62.295
162,0,71.7019,713.322,61.8427,71.2262,673.6,62.1154,111.523,714.125,62.6693,111.486,673.298,62.3056
163,0,71.7238,713.386,61.8308,71.2082,673.603,62.1365,111.313,714.074,62.5444,111.475,673.283,62.2875
164,0,71.7283,713.395,61.8512,71.2485,673.65,62.1064,111.554,714.124,62.6352,111.485,673.305,62.2717
165,0,71.7161,713.409,61.8169,71.2288,673.634,62.0931,111.55,714.116,62.6831,111.5,673.306,62.295
166,0,71.7225,713.382,61.824,71.2275,673.638,62.0762,111.565,714.121,62.6743,111.468,673.244,62.3193
